taxa,full_taxa_name,stressor,source,median,lower_95,upper_95,weight,allocation,production,,
bivalves,bivalves,GHG,total on- and off-farm,652.7236279,0,2104.274407,live,mass,aquaculture,,
catfish,catfish,GHG,total on- and off-farm,4158.50819,3684.997938,4708.502507,live,mass,aquaculture,,
hypoph_carp,silver/bighead,GHG,total on- and off-farm,1929.893619,1063.757358,3030.967627,live,mass,aquaculture,,
milkfish,milkfish,GHG,total on- and off-farm,3991.016099,2858.97981,5370.065371,live,mass,aquaculture,,
misc_diad,misc diadromous fishes,GHG,total on- and off-farm,9851.562067,6912.136417,13318.57854,live,mass,aquaculture,,
misc_marine,misc marine fishes,GHG,total on- and off-farm,6027.975675,4866.222761,7301.299331,live,mass,aquaculture,,
oth_carp,misc carps,GHG,total on- and off-farm,3745.332133,3149.042012,4382.832768,live,mass,aquaculture,,
plants,plants,GHG,total on- and off-farm,666.4297184,0,1892.079626,live,mass,aquaculture,,
salmon,salmon,GHG,total on- and off-farm,2993.176832,2457.920293,3581.343954,live,mass,aquaculture,,
shrimp,shrimp,GHG,total on- and off-farm,5396.133116,4904.662371,5893.709341,live,mass,aquaculture,,
tilapia,tilapia,GHG,total on- and off-farm,4004.021303,3456.826018,4567.672842,live,mass,aquaculture,,
trout,trout,GHG,total on- and off-farm,3176.866494,2469.092174,3884.920969,live,mass,aquaculture,,
bivalves,bivalves,N,total on- and off-farm,-26.04154242,-60.33840245,6.94950969,live,mass,aquaculture,,
catfish,catfish,N,total on- and off-farm,71.7795768,60.73978708,83.28782782,live,mass,aquaculture,,
hypoph_carp,silver/bighead,N,total on- and off-farm,23.606204,0.771361514,46.86952846,live,mass,aquaculture,,
milkfish,milkfish,N,total on- and off-farm,97.95665509,63.20282336,134.514249,live,mass,aquaculture,,
misc_diad,misc diadromous fishes,N,total on- and off-farm,82.60981353,23.64103095,147.6844924,live,mass,aquaculture,,
misc_marine,misc marine fishes,N,total on- and off-farm,123.2824589,97.13829279,149.1510801,live,mass,aquaculture,,
oth_carp,misc carps,N,total on- and off-farm,79.74527567,67.15491694,92.75471008,live,mass,aquaculture,,
plants,plants,N,total on- and off-farm,-26.99347686,-73.51921231,20.57446494,live,mass,aquaculture,,
salmon,salmon,N,total on- and off-farm,65.37081518,51.47984414,79.38691727,live,mass,aquaculture,,
shrimp,shrimp,N,total on- and off-farm,70.4882667,61.00675693,80.08658277,live,mass,aquaculture,,
tilapia,tilapia,N,total on- and off-farm,74.88679201,64.56392056,84.84279112,live,mass,aquaculture,,
trout,trout,N,total on- and off-farm,58.79366846,43.06286712,74.08871048,live,mass,aquaculture,,
bivalves,bivalves,P,total on- and off-farm,-4.860555455,-12.70413219,2.726229555,live,mass,aquaculture,,
catfish,catfish,P,total on- and off-farm,11.28000392,9.426055497,13.2520649,live,mass,aquaculture,,
hypoph_carp,silver/bighead,P,total on- and off-farm,3.598833901,0.036498819,7.371860338,live,mass,aquaculture,,
milkfish,milkfish,P,total on- and off-farm,16.1210784,9.268805033,25.32852329,live,mass,aquaculture,,
misc_diad,misc diadromous fishes,P,total on- and off-farm,19.86087825,5.45403662,40.31435541,live,mass,aquaculture,,
misc_marine,misc marine fishes,P,total on- and off-farm,26.33426124,19.61980801,33.4922082,live,mass,aquaculture,,
oth_carp,misc carps,P,total on- and off-farm,10.91462184,8.790522405,13.31916549,live,mass,aquaculture,,
plants,plants,P,total on- and off-farm,-18.22069755,-28.98637416,-7.101429238,live,mass,aquaculture,,
salmon,salmon,P,total on- and off-farm,15.71634416,12.71232772,18.83679977,live,mass,aquaculture,,
shrimp,shrimp,P,total on- and off-farm,13.73858433,11.92223225,15.60201953,live,mass,aquaculture,,
tilapia,tilapia,P,total on- and off-farm,9.175400657,7.594326624,10.70493113,live,mass,aquaculture,,
