LCA_Category,Convert_to_na,Search_Words
Bovine Meat (dairy herd),,\bbeef mince(s)?\b|\bbeef ground(s)?\b|\bground beef(s)?\b|\bground mince(s)?\b| \bground sirloin(s)?\b|\bground round(s)?\b|hamburger pat|\bbeef\b|meatball(s)?|sausagebeef|beefprotein
Bovine Meat (dairy herd),NaN,\bsoup|\btuna steak|\bpower razor|\bavocado halves|\bpork shoulder|\bsteak crisps|\bsteak sauce|\bpork|\bsalmon fillets|\bcod steaks|\bsteamed pudding|\bsteak seasoning|\bhalibut|\bpudding|\bsteak rub|\bgammon steak|\bsteak flavour|\bsteak cut chips|\bbeef roll|\bgravy granules|\bbeef stock|\bbeef dripping|\bchimichurri|\bgravy|stew pack|tomato|fish|tuna|cod
Bovine Meat (beef herd),NaN,\bsoup|\btuna steak|\bpower razor|\bavocado halves|\bpork shoulder|\bsteak crisps|\bsteak sauce|\bpork|\bsalmon fillets|\bcod steaks|\bsteamed pudding|\bsteak seasoning|\bhalibut|\bpudding|\bsteak rub|\bgammon steak|\bsteak flavour|\bsteak cut chips|\bbeef roll|\bgravy granules|\bbeef stock|\bbeef dripping|\bchimichurri|\bgravy|stew pack|tomato|fish|tuna|cod
Lamb & Mutton,,\blamb(s)?\b|\bmutton(s)?\b| \bgoat meat(s)?\b|\bsheep meat(s)?\b|\bdoner meat(s)?\b|\bhaggis|lamb.*shank
Lamb & Mutton,NaN,\bgravy|\bstock|lamb seasoning|lamb.*rum
Pig Meat,,\bpig(\s)?meat(s)?\b|\bpork(s)?\b|\bbacon(s)?\b|\bham(s)?\b|\bgammon(s)?\b|\bham\b|\bsausage(s)?\b|\bpancetta(s)?\b|\bsalami(s)?\b|\bpastrami(s)?\b|\bchorizo(s)?\b|\bchorizoes\b|\bhot dog(s)?\b|\bhotdog(s)?\b|\bpepperoni\b|sausagemeat|saltpork|sausagepork|liverpork|britishpork|ingredientspork|salamipork|smokedbacon|\bproscuitto|\bzywiecka|\bkrakowska slices|\bsnack bilton|\bpurpork|\bsaucisson|\bpig kidney\b|\bpig liver\b
Pig Meat,NaN,\bpizza(s)?\b|\bpie(s)?\b|\broll(s)?\b|\bgravy\b|\bgranule\b|\bolives\b|\bsandwich\b|\bwrap(s)?\b|\bcrisp(s)?\b|\bmuffin(s)?\b|\bpepperoni & mozzarella\b|\bsauce mix\b|\bpringles\b|\bcrisp(s)?\b
Eggs,,\begg(s)?\b|\bcooked scrambled omelette(s)?\b|\bhuevo(s)?\b|\bhuevoes\b|\brangeegg\b|\brangeeggs\b|\bpasteurisedegg(s)?\b|\bdriedeggwhite(s)?\b|\bwholeegg(s)?\b|\beggyolk(s)?\b|\beggwhite(s)?\b|\bpasteurisedeggyolk(s)?\b|\bpasteurisedeggwhite(s)?\b|\bdriedegg(s)?\b|driedeggyolk(s)?|\brangeegg|barnegg\b|\bbarnegg|boiledegg|eggwhite(s)?|eggyolk(s)?|egg12|eggomelette|eggpowder|eggprotein|eggs[0-9]|liquidegg|egg yolk|yolk powder|whole egg powder|rangeeggwhite|rangeeggyolk|fresheggs|boildegg(s)?|rangeegg|wholeegg|eggmass|pasteurisedegg|egg powder|omeletteegg|eggpieces|scrambledegg|seasonedegg|boiledegg|freshegg|Hensegg|wholeegg|\byolk\b|PastuerisedEgg|PasteurizedEgg|eggalbumen|britishegg|minieggs|eggsong|eggwash|eggalbumen|quaileggs|pasteuriseegg|henegg|eggalbumin
Eggs,NaN,\begg fancies|\bkitkat|\bkit kat|\bmr kipling|\bmisfits|\bunicorn|\bpappardelle|\begg hunt|\bcandy egg|\begg.*tart|\bvegan|\bunicorn|\bsmarties|\bmatzos|\bcrayola|fried rice|chocolate
Poultry Meat,,\bchicken(s)?\b|\bturkey(s)?\b| \bduck(s)?\b|\bquail(s)?\b| \bgoose(s)?\b|\bgeese\b|\bfowl(s)?\b|\bguinea(s)?\b|\bsquab(s)?\b|\bpigeon(s)?\b|\bpheasant(s)?\b|\bpoultry\b|\bmeat and animal derivatives\b|chicken breast|derivativeschicken|chicken thigh|chicken with liver|duck\b|derivativesturkey|\bcorn fed.*chicken
Poultry Meat,NaN,\bseasoning\b|\\mix\b|\bgravy\b|\bstock\b|\brecipe\b|\btoilet\b|\bbleach\b|\bgoose island\b|\bbrush\b|\bswan food\b|\bpurina\b|\bcat(s)?\b|\bdog(s)?\b|\bpet(s)?\b|\bguinea pig\b|\bsoup\b|\bsauce\b|\bduck fat\b|\bgoose fat\b|noodles cup|super noodles
Milk,,\bmilk(s)?\b|\bwhey\b|\bquark\b|\bskimmedmilkpowder(s)?\b|\bskimmedmilk(s)?\b|\bmilkfat(s)?\b|\bmilkprotein(s)?\b|\bwholemilkpowder(s)?\b|\bwholemilk(s)?\b|\bcowsmilkpowder\b|\bbuttermilk(s)?\b|\bmilkpowder(s)?\b|\bmilk sugar(s)?\b|\bcondensedmilk(s)?\b|\bcreammilkpowder(s)?\b|\bcreamilk(s)?\b|\bcreammilk(s)?\b|skimmilkpowder|milkwhey|fatmilk\b|cowsmilk|cowsmilk|sheepmilk|fat milk|milksolid(s)?|freemilk\b|milkfat\b|wholemilk\b|buffalomilk\b|buttermilk|milkpowder|milkpreparation|condensed sweetenedmilk|milksugar|cowsmilk|milkallergy|containsmilk|buttermilk\b|cowsmilk|cowmilk|fatmilk|skimmedmilk|driedbuttermilk|driedmilk|driedwhey|evaporatedmilk|ewesmilk|ewesmilk|milkpowder|milkconcentrate|goatmilk|goatsmilk|milkyogurt|goatsmilk|sheepsmilk|sheepmilk|sheepsmilk|milk100|milk14|milk55|milklactose|milksolid(s)?|milksugar|yogurt powder|drymilk|lowfatmilk|demineralisedwhey|wholemilk|organicmilk|organicwhey|cowsmilk|cowsmilk|buffalomilk|buttermilk|pasteurizedmilk|pasteurizedcream|skimmilk|milkpowder|powderedmilk|reconstitutedmilk|skimmed milk|milkconcentrate|skinmilkpowder|stablisedUhtcream|condensedmilk|condensedskimmedmilk|wheypowder|whey powder|wheypowder|wheyprotein|camelmilk|\bwholemilk|pasteurisedmilk|totalmilk|reducedmilk|ingredientsmilk|milkprotein|milkpermeate|milkfat|milkmay|milkblend|freshmilk|frommilk|milkwith|Lactofree Fresh|Lactofree|actimel|\byazoo|\bchocolate milk|\byeo valley.*pot|\byeo valley.*kefir|\bkefir|\bskimmed dairy drink
Milk,,\byogurt(s)?\b|\byoghurt(s)?\b|\bskyr(s)?\b|\byogourt(s)?\b|\byoghourt(s)?\b|\byog(h)?urt|yog(h)?urt\b
Milk,NaN,\boatly|\bhemp|\bsoy|\balmond|\bcoconut|\bmilk.*loaf|\boreo|\bherbal essences|\bogx|\bpalmolive|\bolay|\\baveeno|\bgarnier|\bcheddar|\blip balm|\bbody.*milk|\bcheese|\bpancake|\bcake|\\muffin|\bfudge|\bdressing sauce
"Butter, Cream & Ghee",,milkcream|whippingcream|\bbutter(s)?\b|\bcream(s)?\b|\bice cream(s)?\b|\bfraiche\b|\bcreme\b|whippingcream|cowscream|\bcreme patisserie(s)?\b|\bbutterfat(s)?\b|clottedcream|\bconcentratedbutter\b|buttercream|saltedbutter|freshbutter|clarifiedbutter|butteroil|brownbutter|wowbutter|cream[0-9]|creampowder|\bsourcream|souredcream|driedcream|processedbutter|dehydratedbutter|butter[0-9]|uhtcream|butterconcentrate|milkbutter|creme fraiche|freshcream|milkandcream|\bfreshcream\b|ButterConcentrate|\bice cream\b|\bfudge|\bmagnum|\bbetter ghee|\bfrench.*salted|\bmagnum\b
"Butter, Cream & Ghee",NaN,\bmuffins|\bsalad cream|\bsweets bag|\bcrisps|\b pretzels|\bbourbon creams|\bcustard creams|\bcream crackers|\bbutter puffs|\bthins|\bcream cones|\bantiseptic|\btreatment|\bnivea|\bcleaner|\bmorrisons|\bScholl|\bdaktarin|\banthisan|\bitch|\baveeno|\bvagisil|\blanacane|\bdneture|\boreal|bpalmer|\\hair|\bcurl|\bgarnier|\bjohn frieda|\bcasting|\btresemme|\bschwarzkopf|\bimperial|\bmorrisons|\bfenjal|\bsanex|\bdove|\bpalmolive|\bradox|\bshower|\bbath|\bfenjal|\bhydrating gel|\bcoconut|\bolay|\bjason vegan|\bneutrogena|\bolay|\\dead sea|\bshea butter|\bskin doctor|\bpalmer|\bbubble t|\bbeffayre|\bmitchum|\bsure|\bambre|\bpiz buin|\bcollection|\bbloom|\bnappy|\bnipple|\bmoistu|\bemollient|\btwisted sista|\bayuuri|\schar gluten free cream crackers|\bliqueur|\bcake|\bvegan|\bcrackers|\bold jamaica|\bsnack a jacks|\btartar|\bbig burger jelly|\bcream wafers|\bgingerbread|\bcream sherry|\bshea|s bees|\bfacial|\bbody butter|\bpawpaw|\balpro|\bsoda|\bsavours thins|\bpita|\bmint creams|\bbugles|\btortilla|\bcornet|\bcake|\boreo|\bcrunch creams|\bbody butter|\bhand cream|\bface cream|\\day cream|\bhydrating|\bmoistu|\bcleaner|\bchilli|\bchili|\bmushroom|\beye cream|\bnight cream|\bcream soda|\bdonuts|\bfree from custard|\bcream alternative dessert|\bcake|\bsoy|\bfro snackers|\bbody butter|\bolay|\bdirty works|\bsandwich|pringles|\bsoup\b|\bbrownie|chicken|sauce|magnum
Cheese,,\bfromage(S)?\b|\bcheese(s)?\b|\bcheestring(s)?\b|\bcheesestring(s)?\b|\bgloucester\b|\bedam\b| \bcheddar(s)\b|\bleicester\b|\bgouda\b|\bbrie\b|\bmuenster\b|\bmozzarella\b|\bcamembert\b|\bmonterey(\s)?jack\b|\bparmesan\b|\bparmigiano\b|\breggiano\b|\bstilton\b|\bwensleydale\b|\bfeta\b|\bricotta\b|\bromana\b|mozzarella|cheesemade|cheesemilk|bluecheese|cheddarcheese|cheese[0-9]|cheesemade|cheesemilk|cheesepowder|cheesesauce|cheesespread|cottagecheese|creamcheese|curdcheese|emmentalcheese|softcheese|milkcheese|maturecheese|cheesetrong|meltedcheese|pecorino romano|parmesan|mozzarella|leicestercheese|gloucestercheese|blue stilton|parmesancheese|\bcheddar|cheddar\b|fatcheese|stiltoncheese|cheesecheeses|fellcheese|hardcheese|\bmascarpone|\bhalloumi|\bmozarella|\bgrana padano|\bmanchego|\bbabybel|\bpaneer|\bgruyere|\bcornish blue|\bamsterdam mature|\braclette|\bjarlsberg reserve|\bcornish yarg|\breserve comte|\bberthauts epoisses|\b1 swaledale|\bvintage applewood|\btaleggio|\bred storm\b|\bmorbier|\bold winchester|\blancashire bomber|Parmigiano Reggiano
Cheese,NaN,cheese curls|\bcheese puffs|\bdreamies|\bcheese snacks|\bdoritos|\bwalkers|\bmac & cheese|\bcheese cushions|\bcat snack|\bdreamies|\btortilla chips|\bmac and cheese|\bdunkers nachos|\bcheese topped rolls|\bcheese.*snack|\bsandwich|\bcheese thins|\bcheese bun|\btortilla strips|\bpringles|\bcheese.*roll|\bcheese.*baton|\bcheese.*crisp|\bcrisps|\bmorrisons
Fish (farmed),,\bfish(es)?\b|\bfish\b|\bcod\b|\btilapia(s)?\b|\bsalmon(s)?\b|\btuna(s)?\b|\bcod(s)?\b|\bsardine(s)?\b|\bherring(s)?\b|\bkipper(s)?\b|\bbass(es)?\b|\bturbot(s)?\b|\bbrill(s)?\b|\bpollack(s)?\b|\bmackerel(s)?\b|\bplaice(s)?\b|\btrout(s)?\b|\bgurnard(s)?\b|\bsprat(s)?\b|\bpollock(s)?\b|\bhake(s)?\b|\bbasa(s)\b|\bhaddock(s)?\b|\bpilchard(s)?\b|\bsild(s)?\b|\bsprat(s)?\b|\bbrisling(s)?\b|\beel(s)?\b|\bsea food(s)?\b|\bseafood(s)?\b|\bsea bream(s)?\b|\bhaddock(s)?\b|fish and fish derivatives|alaska pollock|\bsalmon\b|\bmackerel\b|fish protein|smoked cod|white fish|smoked fish|atlantic cod|organic fish|fish and fish derivatives|minced salmon|minced haddock|minced cod|mackerel|ingredients:cod|ingredients:atlantic cod|list:cod|flaked fish fillets|fish skin(s)?|fish powder|fish paste|fish and aquatic animals|cod steaks|cod paste|cod powder|\bcod|atlantic cod|batterd cod|cod fish skin|% fish|haddock fillet|haddock frame mince|smoked haddock|yellow haddock|with haddock|escaloped haddock|haddock|herring|tilapia|brisling|sea bream|pollock|trout|plaice|whitefish|fish protein|\bsprat(s)?|fishcake|white fish|smoked fish|white fish|salmon fish|red fish|redfish|organic fish|minced salmon|minced haddock|lumpfish|mackerel ^fish|fishpowder|fishpaste|fish)|fish[0-9]|fish and fish|fish & fish|\bfish|cod fish|% fish|monk fish|basa fillets|\bwhitebait\b|\bseabass fillets\b
Fish (farmed),,\banchovie\b|\banchovy\b|\banchovies\b|\banchovietta\b|sardines|ocean fish|\banchov|\bpangasius|\bnorwegian halibut|\bmonkfish|\bdover sole|\bbasa fillet|\bhalibut fillets|\btuna steak|\bsalmon fillets|\bsole\b
Fish (farmed),NaN,\bolives stuffed|\bstuffed olives|\bseafood sauce|\bfish seasoning|\bcat food|\bpurina|\bdentalife|\bwebbox|dreamies|\brosewood|\bbob martin|\bfish batter mix|\bpie mix|\btrout hall pink guava|\btrout hall citrus|\bfish sauce|\bcod liver oil|\bfish oil|\bfish pie|\bfish tea soup|\bfizzy fish
Tea,,^Tea$|\btea(s)?\b
Tea,NaN,\bsoap\b|\bshower\b|\bbath\b|\bshampoo\b|\bconditioner\b|\bcracker(s)?\b|\bcake(s)\b|bread|infusion|matzo(s)?|liquorice|shampoo|conditioner|biscuit
Crustaceans (farmed),,\bcrustacean(s)?\b|\bcrab(s)?\b|\bcrabmeat(s)?\b|\bshrimp(s)?\b|\blobster(s)?\b|\bprawn(s)?\b|\bscampi(s)?\b|\bcray(\s)?fish\b|\bcraw(\s)?fish\b|\bcockle(s)?\b|\bmussel(s)?\b|\bscallop(s)?\b|\bsquid(s)?\b|\bking pawn\b|\boyster(s)?\b|crab|groundshrimp|driedshrimp|shrimpflavour|shrimppowder|shrimppast|wheatprawn|lobstertomalley|mussels|smokedoysters|farmed ukoysters|cuttlefish|king pawn|squidpreparation|\blittleneck clams|\bcooked white clams
Crustaceans (farmed),NaN,\bsauce|\bcrisps|\bflavour|\bflavour|\bcrackers|\bsandwich|\bsand wich|\boyster bay\b|\bcrabbies\b
Other Fruit,,\bfig(s)?\b|\bkiwi(s)?\b|\bmelon(s)?\b|\bcherry\b|\bcherries\b|\bmango(s)?\b|\bmangoes\b|\bmangosteen(s)?|\bpapaya(s)?\b|\bfruit(s)?\b|\bguava(s)?\b|\bpeach(es)?\b|\bplum(s)\b|\bapricot(s)?\b|\bprune(s)?\b|\bcurrant(s)?\b|\bsapote(s)?\b|\bcoconut(s)?\b|\bdate(s)?\b|\bdragon fruit(s)\b|\bdragonfruit(s)\b|\bpitaya(s)?\b|\bdurian(s)?\b|\bfeijoa(s)?\b|\bjack fruit(s)?\b|\bjackfruit(s)?\b|\bjambul(s)?\b|\bjujube(es)?\b|\bjujubes\b|\bkiwano(s)?\b|\bkumquat(s)?\b|\bloquat(s)?\b|\bpear(s)?\b|\bpersimmon(s)?\b|\bpineapple(s)?\b|\bpomegranate(s)?\b|\bpomelo(s)?|\bpomeloes|\bquince(s)?\b|\bsalak(s)?\b|\bsatsuma(s)?\b|\bsoursop(s)?\b|\btamrillo\b|\btamarind(o)?\b|\btamarindoes\b|\btamarindos\b|\bugli(s)?\b|\buglies\b|\byuzu(s)?\b|\byuzues\b|passionfruit|summerfruit|lychee|breadfruit|multifruit|watermelon|plum jam|plum juice|plum paste|plum pur|peach1|\bplum|guavapuree|dried plum|acidpeach|flavouringdate|tamarind|starfruit|nectarine
Other Fruit,NaN,\bcake\b|\bsoap\b|\bcream\b|\bskittles\b|\\rowntrees\b|\btella\b|\btic tac\b|\byoyos\b|\btea\b|\bkombucha\b|\bcurry\b|\bcoca cola\b|\bcoke\b|\bpepsi\b|\blemonade\b|\bfanta\b|\brubicon\b|\bkimura\b|\btango\b|\bsparkling\b|\bcider\b|\bmr sheen\b|\bshoe polish\b|\bexpress shine\b|\bapplicator brush\b|\bdetergent\b|\bbalm\b|\bmehtol\b|\blozenges\b|\btablets\b|\bethical spectacle\b|\bconditioner\b|\bshampoo\b|\bsoap\b|\bpastel spray\b|\bweightless mousse\b|\bshower gel\b|\bserum\b|\bmoisturiser\b|\bscrub\b|\bcleansing\b|\blotion\b|\bscrub\b|\bdeodorant\b|\bmaybelline\b|\blip\b|\belegant touch\b|\bcollection\b|\bcoconut oil\b|\bbaylis & harding\b|\bbubble t summer\b|\bbear pure\b|\bdog\b|\bpetface\b|\bcapsule(s)?\b|\bskittles\b|\bkoppaberg\b|\bstrongbow\b|\balcohol(ic)?\b|\bessence\b|\bbuns\b|\bcoconut water\b|\bbakewell(s)?\b|\bpastille(s)?\b|\bfruit-tella\b|\bjolly rancher\b|\bfruit punch\b|\bjelly belly\b|\bcoconut bite chia seed\b|\btesco.*zero\b|\btesco sparkling\b|\btesco still\b|\blucozade\b|\bwater\b|\byogurt\b|\bsweets\b|\bgums\b|\bjellies\b|\balcohol\b|\bvimto\b|\btea\b|\bpresse\b|\bhomebaking\b|\bliqueur\b|\bpancakes\b|\bflapjack\b|\bshortbread\b|\bread\b|\bliquorice\b|\bwafer(s)?\b|\bold jamaica\b|\\ka\b|\bchews\b|\bmentos\b|\bgatorade\b|\bpassoa\b|\bols\b|\bkvarg\b|\bmilk|vitamin|schnapps
Other Vegetables,,mycoprotein|\bvegetable(s)?\b|\balfalfa\b|\bartichoke(s)?\b|\beggplant(s)?\b|\bgherkin(s)?\b|\baubergine(s)?\b|\bendive(s)?\b|\bfiddlehead(s)?\b|\bfrisee(s)?\b|\bfrisee(s)?\b|\bescarole(s)?\b|\bbutterhead(s)?\b|\bsalad(s)?\b|\brocket(s)?\b|\biceberg(s)?\b|\bfennel(s)?\b|\bspinach(es)?\b|\blettuce(s)?\b|\bvegetable(s)?\b|\barugula\b|\bmushroom(s)?\b|\bnettle(s)?\b|\bokra(s)?\b|\bpepper(s)?\b|\bcapsicum(s)?\b|\bavocado(s)?\b|\bavocadoes\b|\bpimento(s)?\b|\bpimentoes\b|\brhubar(b)s)?\b|\bjalapeno(s)?\b|\bjalapenoes|\bhabanero(s)?\b|\bhabaneroes\b|\bradicchio\b|\basparagus\b|\bsalsify\b|\bsquash(es)?\b|\bpumpkin(s)?\b|\bgourd(s)?\b|\bcourgette(s)?\b|\bzucchini(s)?\b|\bcucumber(s)?\b|\btat soi\b|\bwatercress(es)?\b|\bspring green(s)?\b|\bmixed leaves\b|\bchilli(s)?\b|\bchillies\b|\bchili(s)?\b|\bchilies|\bmangetout\b|^chard$|chard*|\bruby red chard\b|\bchicory\b|\bbaby chard\b|\bchoi sum\b|vegetables35|rhubarb|red chilli|beansprout|veggie straw|courgetted|leafy green|butternut|\bcornichons|\bmixed picke|\bsandwich pickle|\bploughmans pickle|\bpiccalilli pickle|\bcrisp.*salad\b|\bcrisp.*leaf\b
Other Vegetables,NaN,\bdressing\b|\bstock\b|\bsoup\b|\bgravy\b|\btortilla\b|\bcrisp(s)?\b|\blollies\b|\bdr pepper\b|\btonic\b|\bbattery\b|\bbatteries\b|\btoothpaste\b|\bcharcoal\b|\btooth\b|\bmouth\b|\\head & shoulders\b|\bshampoo\b|\bconditioner\b|\bsoap\b|\bshower\b|\bbath\b|\bmask\b|\bbody spray\b|\bbodyspray\b|\bcleaning\b|\btoilette\b|\bmaybelline\b|\bbaylis & harding\b|\bfarah mens\b|\brolls\b|\bcrisp|\bpanini\b|pizza|waffle|dipper|mix it universal|cracker|chardonnay|samosa|\bvegetable oil\b|\bpretzel\b|\bthins\b|\bdorito|\bflatbread\b|\bsauce\b|\\tea\b|\bgrissini\b|\bcracker(s)?\b|\\teabag(s)?\b|\bsauce\b|\bbouillon\b|\bsweets\b
Other Pulses,,\bsoya(bean)?\b|\bsoy(bean)?\b|\bsoya(beans)?\b|\bsoy(beans)?\b|\bsoyaprotein(s)?\b|\bsoyaflour(s)\b|hulledsoyabean(s)|soyaflour|soyflour|soyprotein|soyaflake|soyabean|soyspread|kibbledsoya|soyasauce|soysauce|soybeans|soybeanpaste|soybeanprotein|soybeanpowder|soyapaneer|soyasauce|soyagrits|soyafibre|soyaflakes|soyacrisp|soyabran|soyabase|soyamince|soyaprotein|organicsoybean|organicsoyabean|soyabean|soyabeans|hydroloyzedsoy|fermentedsoy|proteinsoy|europeansoy|blacksoy|edamame|defattedsoy|soyapieces|soybean paste|soybean protein|soyapaste|soypowder|soyflower|soyfibre|soycrispies|soyafiber|soyagranules|soyacrunchies|soyacon|soyabran|rehydratedsoy|texturedsoya|isolatedsoy|soya protein|soy protein|soy* protein|\bchick pea(s)?\b|\bsplit pea(s)?\b
Other Pulses,NaN,\balpro\b|\bkikkoman\b|soy sauce\b|\btamari\b|\bvanilla\b|\bscrub\b|\bjelly bean(s)?\b|\bdrink\b|\bmilk\b|\bkitkat\b|\buht\b|soy.*free|\bdrink\b|\bmilk\b
Animal Fats,,\banimal fat(s)?\b|\blard(s)?\b
Olives,,\bOlive(s)?\b|kalamataolive
Olives,NaN,shampoo|conditioner
Cereals & Oilcrops Misc.,,\bquinoa\b|\bcereals\b|\bhop(s)\b|hop product|hop flower|buckwheat|buck wheat|amaranth|millett|sorghum|teff|fonio|triticale|chia|kaniwa|kiwicha|\bmustard\b|\\mustardpowder\b|\bmustardseed(s)?\b|\bpoppy seed(s)\b|\bsesameseed(s)?\b|\bmustardflour\b|seed mix|\bsafflower\b|\bsesame seed(s)?\b|mustardseed(s)\b|linseed(s)?|sesame seedpaste|seed(s)?\b|\brapeseed(s)?|flaxseed(s)|linseed|blacksesame seed|blackmustardseed(s)?|black rapeseed(s)?|americanmustard|blackmustard|stylemustard|mustardflour|grainmustard|dijonmustard|englishmustard|frenchmustard|groundmustard|mustard[0-9]|mustardbran|sesamepaste|\btahini\b|\bflax(\s)?seed\b
Cereals & Oilcrops Misc.,NaN,multi.*loaf|\bpolish|\bface wash|\bsoft jellies|\bfirst response|\bgaviscon|\bbird seed|\bfeeder seed|\btable seed|\bblackseed oil|\bvienna roll|\bgrapeseed oil|\bbaton|\bbaguette|\bbloomer|\bburger.*buns|\bmuesli|\bgranola|\bthins|\bbagel(s)?|\bdough ring|\btikka|\bmacchiato|\bseed oil|\bliquorice|\bdipping cracker|\bsourdough crumpet|shampoo|conditioner|milk
Oils Misc.,,almond oil|almondoil|\bmargarine(s)?\b|groundnutoil|\boils and fats\b|\btoastedsesameoil\b|\bsesameoil\b|sesame seedoil|roastedsesameseedoil|oils & fats|flax oil|flaxseed oil|sesame seedoil\b|peanutoil|Buttery Spread|Light Spread|grapeseed oil|\bseed oil|\bgroundnut oil|\bcorn oil|\balmond.*oil\b
