LCA_Category,Convert_to_na,Search_Words
Oatmeal,NaN,\bmilk\b|\boatly\b|\baveeno\b|\bdrink\b|\byogurt|\byoghurt|bath towel
Potatoes,,\bpotato(s)?\b|\bpotatoes\b|\bsweet potatoes\b|\bsweet potato(s)?\b|\byam\b|\byams\b|\bglass noodle\b|\bglass noodles\b|saltpotato|britishpotato|brownspotato|potato granule|\bcrisps|\bsteak cut chips|\bsavours thins|\boven chips
Potatoes,NaN,\bdog\b|\bpie(s)?\b
Cassava,,\bcassva\b|\bcassava\b|\byucca\b|\byuca\b|\bmanioc\b|\bmandioca\b|\bcasabe\b|\btapioca\b|\boven chips\b|cocoyam|tapiocastarch
Cassava,NaN,\boven chips
Beet Sugar,,\bbeet(\s)?sugar(s)?\b|\bsugar(\s)?beet(s)?\b|\bicing\b
Cane Sugar,,\bcane(\s)?sugar(s)?\b|\bsugar(\s)?cane(s)?\b|\bsugar(s)?\b|\bcanemolasses\b|\bcane molasses\b|\btreacle\b|\bmolasses\b|\bcaramel\b|ingredientssugar|invertsugar
Cane Sugar,NaN,no added sugar|\bcheesecake|\\milk|\bactimel|\blow sugar|\bno.*sugar|\bsugar free|\bzero sugar|\btan foam|\bless sugar|\bcreme caramel|\breduced.*sugar|\bpeas|\bcaramel bun|\bice cream|\bless.*sugar|\bwith.*sugar|\bcakes|\bfudge|\bcupcakes|\bmuffins|\bmagnum double caramel|\bpure belgian milk chocolate|\brooibos|\bcoca-cola|\bsprite|\b7UP|\btango|\bsparkling|\bred bull|\bsugar levy applied|\byazoo|\bmorrisons|\bFanta|\bVimto|\bcake|\bmuscovado sugar ham|\binstant coffee|\bdonuts|\bflavouring|\bflavoring|\bflavour|\bsplenda|\bgum|\btreacle tart|\bcaramel bun|\bcream cones|\b[0-9]% sugar|\bchocolate|\bwhey|\binfusion
Other Pulses,,\blentil(s)?\b|\bbean(s)?\b|\bchick(\s)?pea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|lentilles|\bsplit(\s)?pea(s)?
Groundnuts,,\bpeanut(s)?\b|\bground(\s)?nut(s)?\b|\broastedpeanut(s)?\b|blanchedpeanut(s)?|skinpeanut(s)?|peanuts|roastedpeanut|redpeanut|peanuts|peanutb|peanutf|peanutm|peanutn|peanutp|groundpeanut|peanut[0-9]|peanutbutter
Groundnuts,NaN,\bgroundnut oil|\bpeanut flavored drink|\bpeanut.*drink|s peanut butter chips|\bpeanut wafers
Peas,,\bpea(s)?\b|\bpetits pois\b|peaprotein|mange tout
Peas,NaN,\bchick pea(s)?\b|\bsplit pea(s)?\b
Nuts,,\balmond(s)?\b|\bpecan(s)?\b|\bpistachios\b|\bpistachioes\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachionut(s)?|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnuts|\bwalnut(\s)?p|\bwalnut(\s)?h|\bwalnut(\s)?o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut(\s)?p|hazelnut(\s)?f|hazelnut(\s)?c|hazelnut(\s)?b|hazelnut(\s)?s|hazelnut(\s)?h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond
Nuts,NaN,\bdrink\b|\bmilk\b|\bcalifia farms|\balpro\b|\bplenish\b|\brude health\b|\bcake\b|\bfilled\b|\bflavour(ed)?\b|\bflavor(ed)?\b|\bice cream|\bnutrisse creme\b|\bsoap\b|\bshower\b|\bbath\b|\bgel\b|\bluxury bag\b|\byog(h)?(o)?urt\b|\bmagnum\b|\bwafer(s)?\b|\bkit kat\b|\bcoco fuzion|s bees|\bkipling almond slice\b|\bnuii\b|\bextract\b|\bchocolate bar\b|\bchocolate &\b|\balmond.*oil\b|\bmango\b|\buht\b|\bbakery\b
Soymilk,,\bsoy(\s)?milk(s)?\b|\bsoya(\s)?milk(s)?\b|\bsoy(\s)?drink\b|\bsoya(\s)?drink\s|\bsoy.*milk|\bsoya.*milk|\bsoy.*drink|\bsoya.*drink
Tofu,,\btofu(s)?\b|\bbean(\s)?curd(s)?\b|soybeancurd
Tofu,NaN,rice
Soybean Oil,,\bsoy(\s)?bean oil\b|\bsoya(\s)?bean oil\b|soybeanoil|palm and soybean oil|soyoil|soybeanoil|soyaoil|\bsoy.*oil
Palm Oil,,\bpalm(\s)?oil\b|\bpalm(\s)?kernel oil\b|\bpalm fat\b|\bpalm kernel\b|palm stearin|palm olein oil|palm oil|palm olein|hydrogenated palm glycerides|palm kernal oil|palm fractions
Sunflower Oil,,\bsun(\s)?flower oil\b|sunflower oil
Sunflower Oil,NaN,\bin sunflower oil\b|\bmackerel\b|\bsardine\b|\bprinces\b|\bjohn west\b
Rapeseed Oil,,\bcanola oil\b|\brape(\s)?seed oil\b|\bmustard oil\b| \bmustard(\s)?seed oil\b|rapeesed oil(s)?
Sunflower seeds,,\bsunflower seed(s)?\b|sunflower kernel|kibbled sunflower|sunflower meal
Sunflower seeds,NaN,\byogurt\b
Olive Oil,,\bolive(\s)?oil\b|\bevoo\b|\bextra virgin oil\b|olivexoil|olivex oil|\bolive.*oil\b
Olive Oil,NaN,\bshampoo\b|\bconditioner\b|\bsoap\b|\bsardines\b|\bolives\b|\bsquid\b|\btuna\b|\bsardine(s)?\b|\bmackerel\b|\banchovy\b|\bin olive
Tomatoes,,\btomato\b|\btomatoes\b|\btomatos\b|baby plum tomatoe|ripened tomatoes|tomato puree|tomato sauce|tomato(es)?|\bpassata rustica|\bpassata
Tomatoes,NaN,\bketchup\b|\bsnack(s)?\b|\bcracker(s)?\b|\bravioli\b|\bpasta\b|\bciabatta\b|\bbread\b|\broll(s)\b|\bpizza\b|\bcrisp(s)?\b|\bcracker(s)?\b|\bgreen olives tomato parsley\b
Onions & Leeks,,\bonion(s)?\b|\bleek(s)?\b|\bshallot(s)?\b
Onions & Leeks,NaN,\bbeef\b|\bgravy\b|\bpork\b|\bcrisp(s)?\b|\bpringles\b|\bcheddar\b|\bpretzel(s)?\b|\bwith onion\b|\bbhaji(s)?\b|\bgravy\b|\bonion.*ring(s)?\b|\boyster\b|\bhoi sin\b|\bcornichon(s)?\b|\b& chive\b|\b& red onion\b|\b& onion\b|\\and chive(s)|\band red onion|\band onion|\bsoft cheese\b|\bcottage cheese\b|\bsnacks\b|\bparatha\b|\bflatbread\b|\bstir fry sauce\b|\bpretzel(s)?\b|\bpie\b|\bsnack bar(s)?\b|\bgrab bag\b|\bstock\b|cheese
Root Vegetables,,\bbeet(s)?\b|redbeet powder|\bbeet(\s)?root(s)?\b|\bcarrot(s)?\b|blackcarrot|\brutabaga(s)?\b|\bswede(s)?\b|\bturnip(s)?\b|\bparsnip(s)?\b|\bradish(es)?\b|horseradish|\bkohlrabi(s)?\b|\bcelery\b|\bceleriac\b|pureedcelery|dicedcelery|\bgarlic(s)?\b|\bdaikon(s)?\b|\bjicama(s)?\b|\bginger(s)?\b|britishbeetroot|celery[0-9]|% Garlic|Cellergyallergy|celeryconcentrate|celeryextract|celeryjuice|celerypowder|celeryleaves|celerypur|celeryroot|cookedceleriac|driedceler|groundcelery|organiccelery
Root Vegetables,NaN,\bspreadable\b|\bcheese\b|\bcake\b|\bloaf\b|\bnaan(s)?\b|\bdip\b|\bdough\b|\bpepsi\b|\\old jamaica\b|\bbottle|\bcandle\b|\bsachet(s)?\b|\btea\b|\bteabag(s)?\b|\bdog\b|\bsupreme russle\b|\bpipkins nibble\b|\brosewood boredom\b|\bsauce\b|\bpappadum(s)?\b|\bsnap(s)?\b|\bcheese\b|\bbaguette(s)?\b|\bcrisp(s)?\b|\bcordial\b|\bflatbread\b|\bpizza\b|\bpoppadom(s)?\b|]\bwine vinegar\b|\bmayonnaise\b|with ginger|beer|syrup|sardine
Brassicas,,\bbroccoli\b|\bbroccolini\b|\bcauliflower(s)?\b|\bkale(s)?\b|\bcruciferous\b|\bbrussel(s)?\b|\bbrusselsprout(s)?\b|\bbrussel sprout(s)?\b|\bcabbage(s)?\b|\bturnip(s)?\b|\bturnip green(s)?\b|\bcollard(s)?\b|\bcollard green(s)?\b|\bbok choy\b|\bpak choi\b|\bpok choi\b|broccoletti|broccoliallergy|\bred slaw|\bspicy slaw|\bsauerkraut|\bslaw\b
Citrus Fruit,,\borange(s)?\b|\btangerine(s)?\b|\bgrape(\s)?fruit(s)?\b|\blemon(s)?\b|\blime(s)?\b|\bpomelo(s)?\b|\bpomeloes\b|\bmandarin(s)?\b|\bclementine(s)?\b|citrus fibre|citrus peel|citrus pulp|citrus fiber|citrus limon|\bmarmalade|\btangerines\b|\beasy peelers\b|\bsweetclem(s)?\b|\borange bumper\b|\blarge oranges\b|\blemons\b|\blimes\b|\bgrapefruit\b
Citrus Fruit,NaN,\byogurt|\byoghurt|\bskyr|\bchocolate|\bcupcake|\bcrunch loaf|\bcake|\btartlets|\bmuffins|\bsardines|\blemon grass|\bperi peri chicken|\blemon.*dressing|\blemon & herb|\bcrisps|\bgum|\bcrickets|\bdrizzle bars|\bbaked fusions|\blemon quinoa|\bpudding|\blollies|\bfrosting|\bsprinkle|\bcolour gel|\bshortcrust|\btart|\bpie|\bsprite|\bfanta|\bnatures aid|\btwinings|\bcordial|\bwater|\blucozade|\bhigh5|\bbitter lemon|\bmorrisons|\bschweppes|\bfever-tree|\bfentimans|\bbrewdog|\bkopparberg|\bbloo acticlean|\bflash crisp|\bdomestos|\bflash liquid|\bflash|\bfairy|\bcleaner|\bdettol|\bmr muscle|\bduck|\bdomestos|\\dishwasher|\bfinish|\becover|\blemsip|\bjakemans|\bstrepsils|\bfybogel|\brennie orange|\bibuprofen|\bisotonic|\bcentrum|\bdextro|\bwellwoman|\bwellman|\bbassetts|\bhaliborange|\bherbal essences|\ble petit olivier|\bbronnley|\bavalon|\boriginal source|\bpears|\bbayleys|\bmethod|\bmoisturiser|\bserum|\bbody cream|\bmaybelline|\bchilds farm|\bnurofen|\bdog treat|\boshee|\bchocolates|\blemon fancies|\bmr kipling|\bkopparberg|\btango|\bclub zero|\bessence|\bice cream|\bdrizzle bars|\btortllia chip|\bchicken|\bperi peri bag|\btic-tac|\bolive|\btortilla|\blemon bar|\bloafcake|\b7 up|\borange zero|\bflavoured water|\bsparkling water|\blilt zero|\btonic water|\bvitamin|\btartlet|\bbody milk|\bcream|\bbakewell|\byuzu|\bsnack bar|\bchoc.*egg|\blemon.*sweet|\bleaves|\b7up|\btonic|\bmuffin|\bkitkat|\bdorito|\bnestle|\bcurd|\btea.*bag|\blemon.*pie|\blemon.*tart|ice cream|\bcup cake|\bturkish delight|\bgranola|\bqueso|\bpancakes|\blemon layered slices|\bfibre one|\bbetty crocker|\blewandoski|\bmr kipling|\bcrisp(s?)|\bpie.*filling|\blemon.*syrup|\borange.*syrup|\blime.*syrup|\bfrosting|\bdr.oetker|\bdr. oetker|\blilt zero|\bhappy naturals|s bees|\bquality street|\bNando|\btwinings|\bdigestives|\bloaf|syrup|toothpaste|zero|fruit factory|good swiss
Bananas,,\bbanana(s)?\b|\bplantain(s)?\b|Ripe bananas|bananas loose|bananas [0-9]|trade bananas|plantain crisps|banana slices
Bananas,NaN,banana peppers|ufit|yoyo|yo yo|ice cream|\bmuesli|\byogurt|\byoghurt|\bkefir|milk|fromage|delight|chocolate|shrimp|flavour jelly
Apples,,\bapple(s)?\b|\bapplesauce\b|\bapplejuice\b|braeburn apple|ingredientsapples
Apples,NaN,Apple pie|apple yoyo|apple cleaner|ufit protein drink|yoyo|yo yo|ice cream|fruit factory|\bpies\b|smoothie|water|shower|soap|shampoo|conditioner|cleaner|\bgel
Berries & Grapes,,\bberry\b|\bberries\b|\bgrape(s)?\b|\braisin(s)?\b|\bsultana(s)?\b|\bstrawberry\b|\bstrawberries\b|\braspberry\b|\braspberries|\bcranberry\b|\bcranberries\b|\bblueberry\b|\bblueberries\b|\bblackcurrant(s)?\b|\bcurrant(s)?\b|\belderberry\b|\belderberries\b|\bblackberry\b|\bblackberries\b|strawberriey|goldenberry|cranberry\b|\bcranberries\b|mulberry\b|\bmulberries\b|lingonberry|\blingonberries|huckleberry|gooseberry|goosberries|goldenberry|goldenberries|chokeberry|chokeberries|caperberry|caperberries|boysenberry|boysenberries|incaberry|blackberry|bilberry|mincemeat|acaiberry|bilberries|cloudberry|grapemust|\bredcurrant
