,count (lca observations),LCA_Category,Product_details,LCA_sub_category,LCA_sub_sub_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
88,4,Other Pulses,Field beans,Other Dry Pulses,Dry Beans,\blentil(s)?\b|\bbean(s)?\b|\bchickpea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|\bblack-eyed pea(s)?\b,3,,,2,
89,2,Other Pulses,Lentils,Other Dry Pulses,Dry Lentils,\blentil(s)?\b|\bbean(s)?\b|\bchickpea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|\bblack-eyed pea(s)?\b,3,,\blentil,1,yes
91,3,Other Pulses,Pigeon peas,Other Dry Pulses,Dry Beans,\blentil(s)?\b|\bbean(s)?\b|\bchickpea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|\bblack-eyed pea(s)?\b,3,,,2,
93,1,Other Pulses,Spring faba beans,Other Dry Pulses,Dry Beans,\blentil(s)?\b|\bbean(s)?\b|\bchickpea(s)?\b|\bdal(s)?\b|\bdhal(s)?\b|\bhoumous\b|\bmixed pulse(s)?\b|\bfalafel(s)?\b|butterbean(s)?|chickpeaschickpeas|cornflourchickpeas|waterchickpeas|\bblack-eyed pea(s)?\b,3,,,2,
92,7,Other Pulses,Runner beans,Runner Beans,,\brunner bean(s)?\b|\bscarlet bean|\bmultiflora bean,1,,,,
96,8,Other Vegetables,Cucumber,Cucumbers and squash,Cucumbers,\bgherkin(s)?|\bsquash(es)?\b|\bpumpkin(s)?\b|\bgourd(s)?\b|\bcourgette(s)?\b|\bzucchini(s)?\b|\bcucumber(s)?\b|butternut,3,,\bcucumber|\bcucumis|\bgherkin,1,
99,3,Other Vegetables,Hokkaido pumpkins,Cucumbers and squash,Sqash,\bgherkin(s)?|\bsquash(es)?\b|\bpumpkin(s)?\b|\bgourd(s)?\b|\bcourgette(s)?\b|\bzucchini(s)?\b|\bcucumber(s)?\b|butternut,3,,,2,yes
103,1,Other Vegetables,Pumpkins,Cucumbers and squash,Sqash,\bgherkin(s)?|\bsquash(es)?\b|\bpumpkin(s)?\b|\bgourd(s)?\b|\bcourgette(s)?\b|\bzucchini(s)?\b|\bcucumber(s)?\b|butternut,3,,,2,yes
97,1,Other Vegetables,French and Sim beans,Green beans,,\bmangetout\b|haricots vert|\bgreen bean|\bfrench bean|\bstringless bean|\bfagiolini,2,,,,
98,3,Other Vegetables,Green beans,Green beans,,\bmangetout\b|haricots vert|\bgreen bean|\bfrench bean|\bstringless bean|\bfagiolini,2,,,,
104,3,Other Vegetables,Runner beans,Green beans,,\bmangetout\b|haricots vert|\bgreen bean|\bfrench bean|\bstringless bean|\bfagiolini,2,,,,
100,1,Other Vegetables,Iceberg lettuce,Lettuce,,\bendive(s)?\b|\bfiddlehead(s)?\b|\bfrisee(s)?\b|\bfris_e(s)?\b|\bescarole(s)?\b|\bbutterhead(s)?\b|\bsalad(s)?\b|\brocket(s)?\b|\biceberg(s)?\b|\bfennel(s)?\b|\bspinach(es)?\b|\blettuce(s)?\b|\barugula\b|\bnettle(s)?\b|\bradicchio\b|\bsalsify\b|\btat soi\b|\bwatercress(es)?\b|\bspring green(s)?\b|\bmixed leaves\b|^chard$|chard*|\bruby red chard\b|\bchicory\b|\bbaby chard\b|\bchoi sum\b|courgetted|leafy green,1,,,,
101,1,Other Vegetables,Lambs lettuce,Lettuce,,\bendive(s)?\b|\bfiddlehead(s)?\b|\bfrisee(s)?\b|\bfris_e(s)?\b|\bescarole(s)?\b|\bbutterhead(s)?\b|\bsalad(s)?\b|\brocket(s)?\b|\biceberg(s)?\b|\bfennel(s)?\b|\bspinach(es)?\b|\blettuce(s)?\b|\barugula\b|\bnettle(s)?\b|\bradicchio\b|\bsalsify\b|\btat soi\b|\bwatercress(es)?\b|\bspring green(s)?\b|\bmixed leaves\b|^chard$|chard*|\bruby red chard\b|\bchicory\b|\bbaby chard\b|\bchoi sum\b|courgetted|leafy green,1,,,,
102,22,Other Vegetables,Lettuce,Lettuce,,\bendive(s)?\b|\bfiddlehead(s)?\b|\bfrisee(s)?\b|\bfris_e(s)?\b|\bescarole(s)?\b|\bbutterhead(s)?\b|\bsalad(s)?\b|\brocket(s)?\b|\biceberg(s)?\b|\bfennel(s)?\b|\bspinach(es)?\b|\blettuce(s)?\b|\barugula\b|\bnettle(s)?\b|\bradicchio\b|\bsalsify\b|\btat soi\b|\bwatercress(es)?\b|\bspring green(s)?\b|\bmixed leaves\b|^chard$|chard*|\bruby red chard\b|\bchicory\b|\bbaby chard\b|\bchoi sum\b|courgetted|leafy green,1,,,,
94,2,Other Vegetables,Artichokes,Other Vegetables,Artichokes,\baubergine(s)?\b|\b\bvegetable(s)?\b|\bmushroom(s)?\b|\bokra(s)?\b|\bpepper(s)?\b|\bcapsicum(s)?\b|\bavocado(s)?\b|\bavocadoes\b|\bpimento(s)?\b|\bpimentoes\b|\brhubar(b)s)?\b|\bjalapeno\b|\bjalapeno(s)?\b|\bjalapenoes\b|\bhabanero(s)?\b|\bhabaneroes\b|\basparagus\b|vegetables35|rhubarb|red chilli|beansprout|veggie straw|\bchilli(s)?\b|\bchillies\b|\bchili(s)?\b|\bchilies\b|mycoprotein|\bvegetable(s)?\b|\balfalfa\b|\bartichoke(s)?\b|\beggplant(s)?\b,7,yes,\bartichoke,1,yes
0,0,Other Vegetables,Herbs,Herbs,,\bbasil\b|\bthyme\b|\boregano\b|\brosemary\b|\bparsley\b|\bsage\b|\bcoriander\b|\bcilantro\b|^mint$|\bdill\b|\bchive(s)?\b|\btarragon\b|\bmarjoram\b,4,yes,,,yes
95,1,Other Vegetables,Chicory,Other Vegetables,Chicory,\baubergine(s)?\b|\b\bvegetable(s)?\b|\bmushroom(s)?\b|\bokra(s)?\b|\bpepper(s)?\b|\bcapsicum(s)?\b|\bavocado(s)?\b|\bavocadoes\b|\bpimento(s)?\b|\bpimentoes\b|\brhubar(b)s)?\b|\bjalapeno\b|\bjalapeno(s)?\b|\bjalapenoes\b|\bhabanero(s)?\b|\bhabaneroes\b|\basparagus\b|vegetables35|rhubarb|red chilli|beansprout|veggie straw|\bchilli(s)?\b|\bchillies\b|\bchili(s)?\b|\bchilies\b|mycoprotein|\bvegetable(s)?\b|\balfalfa\b|\bartichoke(s)?\b|\beggplant(s)?\b,7,yes,\bchicory,2,yes
0,0,Other Vegetables,Other Vegetables,Peppers,,pepper|pimento|chili|chilli,5,yes,,,yes
0,0,Other Vegetables,Other Vegetables,Mushrooms,,mushroom|myco|oyster,6,yes,,,yes
0,0,Other Vegetables,Other Vegetables,Other Vegetables,Other Vegetables,\baubergine(s)?\b|\b\bvegetable(s)?\b|\bmushroom(s)?\b|\bokra(s)?\b|\bpepper(s)?\b|\bcapsicum(s)?\b|\bavocado(s)?\b|\bavocadoes\b|\bpimento(s)?\b|\bpimentoes\b|\brhubar(b)s)?\b|\bjalapeno\b|\bjalapeno(s)?\b|\bjalapenoes\b|\bhabanero(s)?\b|\bhabaneroes\b|\basparagus\b|vegetables35|rhubarb|red chilli|beansprout|veggie straw|\bchilli(s)?\b|\bchillies\b|\bchili(s)?\b|\bchilies\b|mycoprotein|\bvegetable(s)?\b|\balfalfa\b|\bartichoke(s)?\b|\beggplant(s)?\b,7,yes,,3,yes
105,2,Palm Oil,Palm fruit,,,,,,,,
106,8,Palm Oil,Palm oil,,,,,,,,
107,16,Peas,Peas,Other peas,,,3,yes,,,
108,6,Peas,Spring peas,Spring peas,,\bspring,2,yes,,,
109,3,Peas,Winter peas,Winter peas,,\bwinter,1,yes,,,
110,37,Pig Meat,Pork,,,,,,,,
111,61,Potatoes,Potatoes,Potatoes,,,2,,,,
112,3,Potatoes,Sweet potatoes,Sweet potatoes & yams,,\bsweet|\byam,1,yes,,,
113,18,Poultry Meat,Chicken,Chicken,,\bchicken(s)?\b|chicken breast|derivativeschicken|chicken thigh|chicken with liver|chicken,2,,,,
114,1,Poultry Meat,Duck,Other Poultry Meat,,,3,Yes,,,
115,6,Poultry Meat,Turkey,Turkey,,\bturkey(s)?\b|turkey,1,,,,
116,5,Rapeseed Oil,Canola,,,,,,,,
117,4,Rapeseed Oil,Canola oil,,,,,,,,
118,16,Rapeseed Oil,Rapeseed,,,,,,,,
119,6,Rapeseed Oil,Rapeseed oil,,,,,,,,
120,3,Rapeseed Oil,Spring rapeseed,,,,,,,,
121,17,Rapeseed Oil,Winter rapeseed,,,,,,,,
122,6,Rice,Jasmine rice,,,,,,,,
123,2,Rice,Long grain rice,,,,,,,,
124,45,Rice,Rice,,,,,,,,
125,12,Root Vegetables,Carrots,Carrots,,\bcarrot(s)?\b,1,,,,
126,2,Root Vegetables,Celeriac,Other Root Vegetables,,\bbeet(s)?\b|redbeet powder|\bbeet(\s)?root(s)?\b|blackcarrot|\brutabaga(s)?\b|\bswede(s)?\b|\bturnip(s)?\b|\bparsnip(s)?\b|\bradish(es)?\b|horseradish|\bkohlrabi(s)?\b|\bcelery\b|\bceleriac\b|pureedcelery|dicedcelery|\bgarlic(s)?\b|\bdaikon(s)?\b|\bjicama(s)?\b|\bginger(s)?\b|britishbeetroot|celery[0-9]|% Garlic|Cellergyallergy|celeryconcentrate|celeryextract|celeryjuice|celerypowder|celeryleaves|celerypur|celeryroot|cookedceleriac|driedceler|groundcelery|organiccelery,2,Yes,,,
127,6,Soybean Oil,Soybean oil,,,,,,,,
128,20,Soybean Oil,Soybeans,,,,,,,,
129,23,Soymilk,Soybeans,,,,,,,,
130,11,Sunflower Oil,Sunflower oil,,,,,,,,
131,15,Sunflower Oil,Sunflower seeds,,,,,,,,
132,23,Tofu,Soybeans,,,,,,,,
133,47,Tomatoes,Tomatoes,,,,,,,,
134,2,Tomatoes,Tomatoes (baby plum),,,,,,,,
135,3,Tomatoes,Tomatoes (loose classic),,,,,,,,
136,2,Tomatoes,Tomatoes (vine),,,,,,,,
141,3,Wheat & Rye (Bread),Wheat and rye bread,Bread,,\bbread(s)?\b\bryebread\b|\brye bread\b|wholerye|wholegrainrye|toastedrye|ryecrumb|breadcrumb,1,,,,
142,10,Wheat & Rye (Bread),Wheat bread,Bread,,\bbread(s)?\b\bryebread\b|\brye bread\b|wholerye|wholegrainrye|toastedrye|ryecrumb|breadcrumb,1,,,,
145,7,Wheat & Rye (Bread),Winter rye,Rye,,\brye\b,2,,,,
137,2,Wheat & Rye (Bread),Bread wheat,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
138,4,Wheat & Rye (Bread),Soft wheat,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
139,7,Wheat & Rye (Bread),Spring wheat,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
140,82,Wheat & Rye (Bread),Wheat,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
143,3,Wheat & Rye (Bread),Wheat flour,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
144,1,Wheat & Rye (Bread),Winter bread wheat,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
146,47,Wheat & Rye (Bread),Winter wheat,Wheat,,\bdurum\b|\bwheat\b|\bgram flour\b|\bflour\b|\bgrain(s)?\b|\bspelt\b|\bnoodle\b|\bcouscous\b|\bcous cous\b|\bpasta\b|\bspaghetti\b|\bmacaroni\b|\bcereal\b|\bmillet\b|\bsemolina\b|\bcouscous\b|\bgobetti\b|\bconchiglioni\b|\budon noddle(s)?\b|\bbiscuit(s)?\b|\bbrioche(s)?\b|\bcroissant(s)?\b|\bseed topped sub roll(s)?\b|\bseed topped white sub roll(s)?\b|\bbulgur\b|\bbreadcrumb(s)?\b|\bdurumwheatsemolina\b|\bwheatflour\b|\bfortifiedwheatflour\b|\bstarch\b|\bwholemealwheatflour\b|\bwheatstarch\b|\bwheatgluten\b|\bryeflour\b|\bwheatprotein\b|\bfermentedwheatflour\b|\bwholemealwheatflour.\b|\bingredients:wheatflour\b|\bwholegrainwheat\b|\bgrainwheat\b|\bwheatgluten\b|wheatbran|wheatfibre|wheatsemolina|maltedwheatflakes|wholewheat|croutons|wheatgerm|\bbulgarwheat\b|\bcrackedwheat\b|durumwheat|wholemealwheat|wheatberry|wheatberries|kibbledwheat|maltedwheat|toastedwheat|organicwheat|roastedwheat|semolinawheat|softwheatflour|speltwheat|wheatprotein|couscous|wheatflake(s)?|wheatglute|spelt wheat|fermentedryeflour|kibbledrye|maltedryeflakes|ryebran|ryeflake(s)?|sproutedryegrains|wholemealrye|breadcumb(s)?|shortbread crumb|wholemeal flatbread|shortbread slide|shortbread mix|wholegrainwheatflour|britishwheat|malted wheaties|groundwheat|whitewheatflour|grainwheatflour|wheatsourdough|wheatmeal|wheatrusk|wheatmalt|wheatfour|wheatflour1|wheatfeed|wheatfiber|wheatdextrose|Wheatdextrine|wheatstarch|unbleachedwheatflour|torrefiedwheat|sproutedwheat|raisingwheat|puffedwheat|enrichedwheat|cookedwheat|pastawheat|emerwheat|modifiedwheat|gwheatflour|ofwheatflour|khorasanwheatflour|freewheatstarch|fortifiedwheat|dodgerswheat|flakedwheat|finewheat|fermentedwheat|enrichedwheat|driedwheat|crispedwheat|bulgurwheat|gradewheatflour|chapattiwheat|attawheat|00wheatflour|wheat[0-9]|spelt|eggpasta|noodle|\bpasta\b,3,,,,
147,15,Wine,Red wine,Red wine,,\bred|\bcabernet sauvignon|\bpinot noir|zinfandel|merlot|cabernet franc|petit(e)? Sirah|syrah|shiraz|sangiovese|malbec|grenache|madeira|chianti|port,1,,,,
148,14,Wine,White wine,White wine,,\bwhite|\bsauvingnon blanc|\btxakoki|\bpinot gris|\bchardonnay|\btorrontes|\bsemillon|\bviognier|\bmoscato|\briesling|\bice wine|\blate harvest|\bsauternes|\bvermentino|\bverdejo|marsala|blanc|white,2,,,,
149,10,Wine,Wine,Other Wine,,,4,,,,
150,10,Wine,Wine grapes,Grapes,,\bgrape,3,,,,
