,count (lca observations),LCA_Category,Product_details,LCA_sub_category,LCA_sub_sub_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
1,51,Cheese,,Hard Cheese,,pecorino|parm|reggiano|manchego|hard|grana|padano|pepato|cotija|comte|asiago|gruyere|roncal|cantal|friesian|leiden|graviera|kefalotiri|idazabal|roncal,1,,,,
,,Cheese,,Medium Cheese,,colby|monterey|gouda|provolone|havarti|marble|wensleydale|leicester|halloumi|emmental|colby|cheddar|gouda|edam|roquefort|gorgonzola|stilton|danish blue|derby,2,,,,
,,Cheese,,Soft Cheese,,mozz|brie|ricotta|munster|camembert|fontina|feta|goat|boursin|gorgonzola|cream|neufch|cottage|blue|bleu|buchette|fougerus|gourmandise|coeur de bray|saint albray|geramont|romadur|chaumes|ricotta|marscapone|bresso|limburger|soft|queso fresco|halloumi|burrata|feta|salad cheese|camembert|goat|cream,3,,,,
,,Cheese,,Other Cheese,,,4,yes,,,
