LCA_Category,LCA_Category_sub,Gephart Match,FAO Match
Fish (capture),Carp & catfish,,Finfish
Fish (capture),Tilapia,,Finfish
Fish (capture),Trout & salmon,,Finfish
Fish (capture),Sea bream,,Finfish
Fish (capture),Tambaqui,,Finfish
Fish (capture),Other fish,,Finfish
Crustaceans (capture),Prawn,Shrimps,Shrimp
Crustaceans (capture),Shrimp,Shrimps,Shrimp
Crustaceans (capture),Other crustaceans,,Crustaceans
